tool,benchmark,total_r0_frozen,total_r1,total_r2,mean_3rep,range_3rep
openspec,github-repository-bootstrap,3.765,3.8,3.8,3.7883,0.035
openspec,worker-video-feature,3.87,3.87,3.87,3.87,0.0
openspec,personal-blog-scaffold,3.8,3.765,3.835,3.8,0.07
ralph,github-repository-bootstrap,3.475,3.51,3.51,3.4983,0.035
ralph,worker-video-feature,3.895,3.79,3.825,3.8367,0.105
ralph,personal-blog-scaffold,4.035,4.035,4.07,4.0467,0.035

"# avg-3 (three-bench mean) per tool per replicate index, Opus 4.8"
tool,avg3_r0,avg3_r1,avg3_r2,mean,min,max,spread
openspec,3.8117,3.8117,3.835,3.8194,3.8117,3.835,0.0233
ralph,3.8017,3.7783,3.8017,3.7939,3.7783,3.8017,0.0233
